,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
Op. 21 ii,419,41,9,25,16,20,23,10,28,23,5,110,0,60,3,15,14,3,12,0,6,9,0,4,0,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Op. 22 i,9,6,4,22,3,44,40,2,34,12,6,110,0,49,8,10,20,4,0,2,8,4,15,3,0,4,0,20,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Op. 22 ii,21,30,32,45,15,45,48,2,19,25,17,147,0,100,18,12,12,4,6,1,4,8,3,17,0,19,4,6,5,2,2,0,1,1,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Op. 23 i,19,27,26,61,52,41,33,9,71,42,19,35,2,28,22,13,15,9,9,7,4,8,7,6,1,8,8,5,3,2,4,3,0,0,2,1,1,3,2,0,2,0,4,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
Op. 23 ii,6,10,21,49,32,22,18,8,35,24,13,24,1,22,17,4,7,8,4,7,3,5,3,0,1,1,2,4,0,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Op. 23 iii,9,14,17,50,37,31,32,3,63,33,18,30,1,20,12,5,15,3,3,5,3,8,5,1,1,5,3,0,5,4,1,3,3,2,2,2,1,1,0,1,3,0,3,0,1,2,0,0,0,0,0,0,1,0,0,1,0,0
Op. 24 i,5,6,7,17,47,13,8,3,82,7,15,97,0,69,7,4,36,2,1,7,9,9,3,3,0,3,2,9,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Op. 24 ii,0,5,4,21,48,3,2,0,19,0,2,12,0,10,0,1,2,4,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Op. 24 iii,4,42,25,3,41,4,5,11,67,1,5,39,0,19,3,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Op. 25 i,4,2,1,29,4,11,4,1,6,11,6,25,0,11,7,6,2,3,0,2,1,3,2,0,0,3,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Op. 25 ii,19,11,28,37,16,17,9,4,14,34,9,30,0,33,10,11,7,5,1,5,12,4,4,1,0,7,1,2,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Op. 25 iii,4,4,7,25,3,7,3,1,10,11,3,22,0,13,6,2,2,1,0,0,1,1,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Op. 26,73,100,20,145,77,5,0,2,99,50,8,133,0,99,15,6,24,0,1,1,7,3,2,2,0,8,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Op. 27 i,6,9,10,25,29,15,21,4,31,6,13,38,0,19,21,17,6,13,2,5,2,1,2,3,0,8,4,2,0,0,3,0,0,0,0,2,0,2,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Op. 27 ii,14,0,4,14,6,14,10,0,8,3,8,6,0,11,4,6,14,0,0,0,0,0,6,0,0,8,9,4,0,0,2,2,0,0,0,0,0,0,2,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Op. 27 iii,10,9,25,25,10,22,6,6,18,18,8,30,1,26,17,10,6,5,8,8,8,3,7,7,0,8,6,5,6,9,3,3,3,2,4,2,0,3,0,5,2,5,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0
Op. 28 i,2,16,1,26,12,2,3,4,14,29,2,94,1,64,1,10,9,0,0,1,3,5,1,14,0,12,0,2,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Op. 28 ii,0,0,0,45,11,0,0,0,23,18,0,94,0,111,1,20,10,0,0,0,0,4,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Op. 28 iii,24,18,1,44,5,1,1,0,8,28,0,78,0,50,0,3,2,0,0,0,4,9,0,10,0,3,0,4,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Op. 29 i,5,19,3,33,42,0,0,0,34,14,0,22,0,14,0,2,8,0,0,0,4,1,1,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Op. 29 ii,4,36,2,34,50,2,0,2,34,23,1,104,1,74,2,2,4,0,0,1,0,0,0,6,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Op. 29 iii,25,107,12,82,54,3,0,0,53,41,5,70,2,33,5,6,6,1,1,0,6,4,1,3,0,2,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Op. 30,180,7,3,86,0,20,1,4,3,41,2,125,0,51,1,26,1,1,1,1,0,19,0,27,0,26,0,7,2,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Op. 31 i,2,8,0,3,9,10,2,0,30,2,1,22,0,10,0,0,7,0,0,0,1,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Op. 31 ii,6,10,0,10,29,15,1,3,48,6,2,71,0,21,0,1,10,2,0,1,7,0,0,5,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Op. 31 iii,1,97,0,26,126,52,3,5,120,12,0,67,0,49,0,8,25,1,1,5,12,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Op. 31 iv,0,8,0,2,7,3,0,0,7,0,0,7,0,2,0,0,3,3,0,0,1,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Op. 31 v,10,94,0,24,81,29,1,1,67,14,1,45,0,31,0,2,16,4,2,1,1,2,0,2,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
